"group","hasOpenIssueAMC","abnormalIssueNumber","noDueTime","bad_milestone_frequnecy"
1,0,0.0588235294117647,0.117647058823529,0
2,0.0833333333333333,0.0833333333333333,0.166666666666667,0
3,0,0.1,0.2,0
4,0.157894736842105,0.0526315789473684,0.263157894736842,1
5,0,0.142857142857143,0.142857142857143,0
6,0,0.142857142857143,0.142857142857143,0
7,0.1,0.1,0,0
8,0,0.111111111111111,0.111111111111111,0
9,0,0.111111111111111,0.111111111111111,0
10,0.142857142857143,0.142857142857143,0.285714285714286,0
11,0.25,0,0,0
12,0,0,0.0833333333333333,0
13,0,0.0625,0.1875,1
14,0,0,0,0
